color;director_name;duration;gross;genres;movie_title;title_year;language;country;budget;imdb_score;actors;movie_facebook_likes;genre_1;genre_2;genre_3;genre_4;genre_5
COLOR;Martin Scorsese;2400;1168667270;Biography|Comedy|Crime|Drama;The Wolf of Wall Street;2013;English;USA;1000000000;82;Leonardo DiCaprio,Matthew McConaughey,Jon Favreau;138000;Biography;Comedy;Crime;Drama;None
COLOR;Shane Black;1950;4089922720;Action|Adventure|Sci-Fi;Iron Man 3;2013;English;USA;2000000000;72;Robert Downey Jr.,Jon Favreau,Don Cheadle;95000;Action;Adventure;Sci-Fi;None;None
COLOR ;Quentin Tarantino;1870;541161910;Crime|Drama|Mystery|Thriller|Western;The Hateful Eight;2015;English;USA;440000000;79;Craig Stark,Jennifer Jason Leigh,Zoë Bell;114000;Crime;Drama;Mystery;Thriller;Western
COLOR;Kenneth Lonergan;1860;464950;Drama;Margaret;2011;English;USA;140000000;65;Matt Damon,Kieran Culkin,John Gallagher Jr.;0;Drama;None;None;None;None
COLOR;Peter Jackson;1860;2583553540;Adventure|Fantasy;The Hobbit: The Desolation of Smaug;2013;English;USA;2250000000;79;Aidan Turner,Adam Brown,James Nesbitt;83000;Adventure;Fantasy;None;None;None
COLOR;Unknown;1830;3302490620;Action|Adventure|Sci-Fi;Batman v Superman: Dawn of Justice;202;English;USA;2500000000;69;Henry Cavill,Lauren Cohan,Alan D. Purwin;197000;Action;Adventure;Sci-Fi;None;None
COLOR;Peter Jackson;1440;3030012290;Adventure|Fantasy;The Hobbit: An Unexpected Journey;2012;English;USA;1800000000;79;Aidan Turner,Adam Brown,James Nesbitt;166000;Adventure;Fantasy;None;None;None
COLOR;Joss Whedon;1730;6232795470;Action|Adventure|Sci-Fi;The Avengers;2012;English;USA;2200000000;81;Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson;123000;Action;Adventure;Sci-Fi;None;None
COLOR;Tom Tykwer;1720;270985800;Drama|Sci-Fi;Cloud Atlas;2012;English;GERMANY;1020000000;75;Tom Hanks,Jim Sturgess,Jim Broadbent;124000;Drama;Sci-Fi;None;None;None
COLOR;Unknown;1580;1025157930;Crime|Drama|Mystery|Thriller;The Girl with the Dragon Tattoo;2011;English;USA;900000000;78;Robin Wright,Goran Visnjic,Joely Richardson;54000;Crime;Drama;Mystery;Thriller;None
COLOR;Christopher Spencer;1700;596961760;None;Son of God;2014;English;USA;220000000;56;Roma Downey,Amber Rose Revah,Darwin Shaw;15000;None;None;None;None;None
COLOR;Christopher Nolan;1690;1879914390;Adventure|Drama|Sci-Fi;Interstellar;2014;English;USA;1650000000;86;Matthew McConaughey,Anne Hathaway,Mackenzie Foy;349000;Adventure;Drama;Sci-Fi;None;None
COLOR;F. Gary Gray;1670;1610292700;Biography|Crime|Drama|History|Music;Straight Outta Compton;2015;English;USA;280000000;79;Aldis Hodge,Neil Brown Jr.,R. Marcos Taylor;76000;Biography;Crime;Drama;History;Music
COLOR;Richard Linklater;1650;253592000;Drama;Boyhood;2014;English;USA;40000000;80;Ellar Coltrane,Lorelei Linklater,Libby Villari;92000;Drama;None;None;None;None
COLOR;Quentin Tarantino;5800;1628046480;Drama|Western;Django Unchained;2012;English;USA;1000000000;85;Leonardo DiCaprio,Christoph Waltz,Ato Essandoh;199000;Drama;Western;None;None;None
COLOR;Michael Bay;1650;2454281370;Action|Adventure|Sci-Fi;Transformers: Age of Extinction;2014;English;USA;2100000000;57;Bingbing Li,Sophia Myles,Kelsey Grammer;56000;Action;Adventure;Sci-Fi;None;None
COLOR;Christopher Nolan;1640;4481306420;Action|Thriller;The Dark Knight Rises;2012;English;USA;2500000000;85;Tom Hardy,Christian Bale,Joseph Gordon-Levitt;164000;Action;Thriller;None;None;None
COLOR;Peter Jackson;1640;2551083700;Adventure|Fantasy;The Hobbit: The Battle of the Five Armies;2014;English;NEW ZEALAND;2500000000;75;Aidan Turner,Adam Brown,James Nesbitt;65000;Adventure;Fantasy;None;None;None
COLOR;Tom Hooper;1580;1487754600;Drama|Musical|Romance;Les Misérables;2012;English;USA;610000000;76;Hugh Jackman,Eddie Redmayne,Anne Hathaway;144000;Drama;Musical;Romance;None;None
